dataset,task,n_samples,n_features,grouped,status,model,bal_acc,auc,brier,mcc,repeat,fold,mae,r2,spearman
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0395413644571369,1.0,2,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.5,0.5333333333333333,0.3530177612484195,0.0,2,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9545454545454546,0.9727272727272728,0.0467310276712826,0.9090909090909092,2,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8136363636363637,0.9727272727272728,0.1019491847080984,0.6330541649476573,2,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.85,0.86,0.1296377372522446,0.7337993857053428,2,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9,1.0,0.1455193749410333,0.8528028654224417,3,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,3,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6272727272727273,0.7,0.2162506067247954,0.2696799449852968,3,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8590909090909091,0.9272727272727272,0.1124537957554045,0.7181818181818181,3,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8,0.93,0.1149819660303633,0.6,3,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0395413644571369,1.0,4,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9090909090909092,0.9727272727272728,0.0817612409055653,0.8257228238447705,4,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.5,0.6090909090909091,0.3984490032961202,0.0,4,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8,0.93,0.1149819660303633,0.6,4,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,4,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,5,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.5,0.5666666666666667,0.3020722013095404,0.0,5,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6590909090909092,0.8363636363636364,0.189781669966454,0.337099931231621,5,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8136363636363637,0.9727272727272728,0.1019491847080984,0.6330541649476573,5,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0007186611269817,1.0,5,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,6,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6681818181818182,0.7454545454545455,0.2371196746552198,0.3363636363636363,6,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9545454545454546,1.0,0.0378932012265268,0.9090909090909092,6,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.000232164447973,1.0,6,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.5,0.5666666666666667,0.3020722013095404,0.0,6,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.65,1.0,0.2147145019328538,0.3535533905932737,7,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,7,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6590909090909092,0.7272727272727273,0.1940690485910958,0.337099931231621,7,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8136363636363637,0.9090909090909092,0.1267213511294631,0.6330541649476573,7,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8,0.93,0.1149819660303633,0.6,7,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9,1.0,0.1455193749410333,0.8528028654224417,8,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.5,0.5666666666666667,0.3020722013095404,0.0,8,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9545454545454546,1.0,0.0322012040946788,0.9090909090909092,8,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.6681818181818182,0.7454545454545455,0.2371196746552198,0.3363636363636363,8,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0007186611269817,1.0,8,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,9,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8136363636363637,0.9727272727272728,0.1019491847080984,0.6330541649476573,9,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9545454545454546,1.0,0.0453536625286398,0.9090909090909092,9,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.85,0.86,0.1296377372522446,0.7337993857053428,9,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.5,0.5666666666666667,0.3020722013095404,0.0,9,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,10,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9090909090909092,0.9727272727272728,0.0817612409055653,0.8257228238447705,10,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9545454545454546,1.0,0.0421425372538636,0.9090909090909092,10,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8,0.93,0.1149819660303633,0.6,10,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.5,0.5333333333333333,0.3530177612484195,0.0,10,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,1.0,1.0,0.0039580314034002,1.0,11,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,11,2,,,
